num,russian,hebrew,german,swedish,norwegian,dutch,ukranian,belarusian,chinese,finnish,estonian,english,hindi,spanish,french,arabic,portuguese,bengali,urdu,indonesian,turkish,vietnamese
88,восемьдесят восемь,שמונים ושמונה,achtundachtzig,åttioåtta,åtti åtte,achten tachtig,вісімдесят вісім,восемдзесяць восем,八十八,kahdeksankymmentäkahdeksan,kaheksakümmend kaheksa,eighty eight,अट्ठासी,ochenta y ocho,quatre-vingt-huit,ثمانية وثمانون,oitenta e oito,আটাশি,اٹھاسی,delapan puluh delapan,seksen sekiz,tám mươi tám
89,восемьдесят девять,שמונים ותשע,neunundachtzig,åttionio,åtti ni,negentachtig,вісімдесят дев’ять,восемдзесяць дзевяць,八十九,kahdeksankymmentäyhdeksän,kaheksakümmend üheksa,eighty nine,नवासी,ochenta y nueve,quatre-vingt-neuf,تسعة وثمانون,oitenta e nove,উননব্বই,نواسی,delapan puluh sembilan,seksen dokuz,tám mươi chín
90,девяносто,תשעים,neunzig,nittio,nitti,negentig,дев’яносто,дзевяноста,九十,yhdeksänkymmentä,üheksakümmend,ninety,नब्बे,noventa,quatre-vingt-dix,تسعون,noventa,নব্বই,نوے,sembilan puluh,doksan,chín mươi
91,девяносто один,תשעים ואחת,einundneunzig,nittioett,nitti en,éénennegentig,дев’яносто один,дзевяноста адзін,九十一,yhdeksänkymmentäyksi,üheksakümmend üks,ninety one,इक्यानवे,noventa y uno,quatre-vingt-onze,واحد وتسعون,noventa e um,একানব্বই,اکیانوے,sembilan puluh satu,doksan bir,chín mươi mốt
92,девяносто два,תשעים ושתיים,zweiundneunzig,nittiotvå,nitti to,tweeënnegentig,дев’яносто два,дзевяноста два,九十二,yhdeksänkymmentäkaksi,üheksakümmend kaks,ninety two,बानवे,noventa y dos,quatre-vingt-douze,اثنان وتسعون,noventa e dois,বিরানব্বই,بیانوے,sembilan puluh dua,doksan iki,chín mươi hai
93,девяносто три,תשעים ושלוש,dreiundneunzig,nittiotre,nitti tre,drieënnegentig,дев’яносто три,дзевяноста тры,九十三,yhdeksänkymmentäkolme,üheksakümmend kolm,ninety three,तिरानवे,noventa y tres,quatre-vingt-treize,ثلاثة وتسعون,noventa e três,তিরানব্বই,ترانوے,sembilan puluh tiga,doksan üç,chín mươi ba
94,девяносто четыре,תשעים וארבע,vierundneunzig,nittiofyra,nitti fire,vierennegentig,дев’яносто чотири,дзевяноста чатыры,九十四,yhdeksänkymmentäneljä,üheksakümmend neli,ninety four,चौरानवे,noventa y cuatro,quatre-vingt-quatorze,أربعة وتسعون,noventa e quatro,চুরানব্বই,چورانوے,sembilan puluh empat,doksan dört,chín mươi bốn
95,девяносто пять,תשעים וחמש,fünfundneunzig,nittiofem,nitti fem,vijfennegentig,дев’яносто п’ять,дзевяноста пяць,九十五,yhdeksänkymmentäviisi,üheksakümmend viis,ninety five,पचानवे,noventa y cinco,quatre-vingt-quinze,خمسة وتسعون,noventa e cinco,পঁইচানব্বই,پچانوے,sembilan puluh lima,doksan beş,chín mươi lăm
96,девяносто шесть,תשעים ושש,sechsundneunzig,nittiosex,nitti seks,zesennegentig,дев’яносто шість,дзевяноста шэсць,九十六,yhdeksänkymmentäkuusi,üheksakümmend kuus,ninety six,छियानवे,noventa y seis,quatre-vingt-seize,ستة وتسعون,noventa e seis,ছিয়ানব্বই,چھیانوے,sembilan puluh enam,doksan altı,chín mươi sáu
97,девяносто семь,תשעים ושבע,siebenundneunzig,nittiosju,nitti sju,zevenennegentig,дев’яносто сім,дзевяноста сем,九十七,yhdeksänkymmentäseitsemän,üheksakümmend seitse,ninety seven,सतानवे,noventa y siete,quatre-vingt-dix-sept,سبعة وتسعون,noventa e sete,সাতানব্বই,ستانوے,sembilan puluh tujuh,doksan yedi,chín mươi bảy
98,девяносто восемь,תשעים ושמונה,achtundneunzig,nittioåtta,nitti åtte,achtennegentig,дев’яносто вісім,дзевяноста восем,九十八,yhdeksänkymmentäkahdeksan,üheksakümmend kaheksa,ninety eight,अट्ठानवे,noventa y ocho,quatre-vingt-dix-huit,ثمانية وتسعون,noventa e oito,আটানব্বই,اٹھانوے,sembilan puluh delapan,doksan sekiz,chín mươi tám
99,девяносто девять,תשעים ותשע,neunundneunzig,nittionio,nitti ni,negenennegentig,дев’яносто дев’ять,дзевяноста дзевяць,九十九,yhdeksänkymmentäyhdeksän,üheksakümmend üheksa,ninety nine,निन्यानवे,noventa y nueve,quatre-vingt-dix-neuf,تسعة وتسعون,noventa e nove,নিরানব্বই,ننانوے,sembilan puluh sembilan,doksan dokuz,chín mươi chín
